feature,gain
INSTAL_COUNT,35.8
CUM_MEAN(PREV_NAME_CLIENT_TYPE_New_MEAN),35.6
PREV_NAME_CONTRACT_TYPE_Consumer loans_MEAN,35.6
DIFF(CC_AMT_PAYMENT_TOTAL_CURRENT_MEAN),35.6
DIFF(APPROVED_AMT_DOWN_PAYMENT_MIN),35.6
CUM_MEAN(PREV_NAME_SELLER_INDUSTRY_XNA_MEAN),35.6
PERCENTILE(BURO_DAYS_CREDIT_ENDDATE_MIN),35.6
APPROVED_APP_CREDIT_PERC_MAX,35.4
CUM_MEAN(PREV_CODE_REJECT_REASON_HC_MEAN),35.0
CUM_MEAN(CLOSED_DAYS_CREDIT_VAR),34.8
CUM_MEAN(WEEKDAY_APPR_PROCESS_START_THURSDAY),34.8
APPROVED_AMT_CREDIT_MAX,34.8
CUM_MEAN(INSTAL_PAYMENT_DIFF_SUM),34.8
DIFF(BURO_STATUS_1_MEAN_MEAN),34.8
CUM_MEAN(CC_AMT_PAYMENT_TOTAL_CURRENT_VAR),34.6
CUM_MEAN(ORGANIZATION_TYPE_Construction),34.6
PERCENTILE(CC_AMT_DRAWINGS_POS_CURRENT_SUM),34.6
BURO_CREDIT_TYPE_Microloan_MEAN,34.4
DIFF(DEF_30_CNT_SOCIAL_CIRCLE),34.4
PERCENTILE(CC_AMT_CREDIT_LIMIT_ACTUAL_MAX),34.2
DIFF(PREV_NAME_CASH_LOAN_PURPOSE_Urgent needs_MEAN),34.0
CC_AMT_DRAWINGS_CURRENT_MEAN,34.0
DIFF(REFUSED_AMT_ANNUITY_MIN),33.8
PREV_APP_CREDIT_PERC_MAX,33.6
CUM_MEAN(ACTIVE_CNT_CREDIT_PROLONG_SUM),33.6
PERCENTILE(CC_AMT_DRAWINGS_ATM_CURRENT_SUM),33.6
PERCENTILE(ACTIVE_MONTHS_BALANCE_SIZE_SUM),33.6
PERCENTILE(ACTIVE_AMT_CREDIT_SUM_DEBT_MAX),33.4
NAME_INCOME_TYPE_Working,33.2
CUM_MEAN(PREV_CODE_REJECT_REASON_VERIF_MEAN),33.0
CUM_MEAN(PREV_AMT_CREDIT_MIN),33.0
CUM_MEAN(PREV_NAME_GOODS_CATEGORY_Clothing and Accessories_MEAN),33.0
CUM_MEAN(CC_NAME_CONTRACT_STATUS_Signed_MEAN),33.0
DIFF(PREV_CODE_REJECT_REASON_XAP_MEAN),32.8
PERCENTILE(APPROVED_AMT_ANNUITY_MAX),32.8
CUM_MEAN(BURO_AMT_CREDIT_SUM_MAX),32.8
CUM_MEAN(BURO_AMT_CREDIT_SUM_LIMIT_MEAN),32.8
CUM_MEAN(PREV_NAME_GOODS_CATEGORY_Office Appliances_MEAN),32.8
PERCENTILE(BURO_MONTHS_BALANCE_SIZE_SUM),32.6
ACTIVE_DAYS_CREDIT_MIN,32.6
DIFF(APPROVED_HOUR_APPR_PROCESS_START_MIN),32.6
PREV_NAME_TYPE_SUITE_Unaccompanied_MEAN,32.6
CUM_MEAN(BURO_STATUS_0_MEAN_MEAN),32.6
CUM_MEAN(PREV_NAME_GOODS_CATEGORY_Medical Supplies_MEAN),32.4
CUM_MEAN(PREV_CODE_REJECT_REASON_LIMIT_MEAN),32.4
REFUSED_DAYS_DECISION_MEAN,32.2
ACTIVE_AMT_CREDIT_SUM_DEBT_MAX,32.2
NAME_EDUCATION_TYPE_Secondary / secondary special,32.2
CUM_MEAN(WEEKDAY_APPR_PROCESS_START_SATURDAY),32.2
CUM_MEAN(CC_CNT_DRAWINGS_OTHER_CURRENT_SUM),32.0
DIFF(CC_CNT_INSTALMENT_MATURE_CUM_MEAN),32.0
PERCENTILE(PREV_AMT_APPLICATION_MIN),32.0
PREV_NAME_YIELD_GROUP_low_action_MEAN,32.0
DIFF(PREV_RATE_DOWN_PAYMENT_MIN),31.8
DIFF(OCCUPATION_TYPE_Core staff),31.6
CUM_MEAN(BURO_CREDIT_CURRENCY_currency 2_MEAN),31.6
CUM_MEAN(NAME_HOUSING_TYPE_With parents),31.6
CUM_MEAN(BURO_CREDIT_DAY_OVERDUE_MAX),31.6
POS_SK_DPD_MAX,31.4
CUM_MEAN(CC_AMT_INST_MIN_REGULARITY_VAR),31.4
CUM_MEAN(CC_NAME_CONTRACT_STATUS_Completed_VAR),31.4
REFUSED_DAYS_DECISION_MAX,31.2
PERCENTILE(CC_AMT_BALANCE_MEAN),31.0
CUM_MEAN(INSTAL_DPD_MEAN),31.0
PERCENTILE(PREV_NAME_GOODS_CATEGORY_Mobile_MEAN),30.8
